Index,Id,Title,netProfit,grossrevenue,reasonForSale,niches,countries
1,aaeca472-9c17-4a13-a08c-e013659c1842,$115.6K Per Month eCommerce Site in the Supplements Niche,49520,115595,The Seller would like the capital for other projects.,Supplements Medical Health & Fitness,US
2,cc5c1f84-0be8-4051-81de-d2f1bcd274df,$221.1K Per Month Amazon FBA Site in the Bed & Bath Niche,41066,221133,The Seller would like the capital for other projects.,Bed & Bath Home,US
3,9779ec7b-f51b-4e23-b370-3aa1e50c7b42,$16.9K Per Month Display Advertising Site in the Outdoors Niche,15631,16900,The Seller would like to explore other opportunities.,Outdoors Automotive Travel,US
4,994b9af0-05d7-49a9-a71a-6396a6128080,$22.0K Per Month Service Site in the Dating Niche,13318,22048,The Seller would like to explore other opportunities.,Dating Romance Hospitality,US
5,cc7058bc-4fa0-49fc-a916-7c0d2c5d2ac3,$152.8K Per Month DropShipping Site in the Home Niche,11397,152774,The Seller would like to explore other opportunities.,Home,US
6,6a1832b8-25f6-4893-b079-4b1057c80e19,$4.9K Per Month Display Advertising Site in the Culinary Niche,4909,4922,The Seller would like to explore other opportunities.,Culinary,US
7,f6d442f0-23d3-446d-bcf1-f50b32864b06,$3.4K Per Month Display Advertising Site in the Children Niche,3258,3379,The Seller would like to explore other opportunities.,Children Baby Care Parenting,US
8,4412546f-8612-439b-beec-bbdd8266cea5,$1225.5K Per Month eCommerce Site in the Baby Care Niche,437837,1225534,The Seller would like the capital for other projects.,Baby Care,US
9,0eb109f6-5f45-43ce-b94e-2cf92b4108bc,$1548.1K Per Month Subscription-Box Site in the Jewelry Niche,277628,1548104,The Seller would like to focus on other opportunities.,Jewelry Religion & Spirituality Personal Care,US
10,88df8fea-cf43-406c-a1d9-63c86f8d2eb1,$1147.1K Per Month Amazon FBA Site in the Sports Niche,247007,1147124,The Seller would like the capital for other projects.,Sports Health & Fitness,US
11,0f8f1097-6039-4f36-9bb4-f75fe2909e02,$1208.5K Per Month Amazon FBA Site in the Personal Care Niche,282930,1208482,The Seller would like to move on to other opportunities.,Personal Care Bed & Bath,US
12,92b4a2e0-2e4c-4e2e-9aeb-6e318219750f,$710.7K Per Month Amazon FBA Site in the Home Niche,223998,710738,The Seller would like to focus on other opportunities.,Home,US
13,52e0dbe9-a989-4cc6-ac90-6603ab9b7891,$699.5K Per Month Amazon FBA Site in the Home Niche,171586,699490,The Seller would like the capital from the sale for other projects.,Home Outdoors,US
14,74fa64b4-4e31-4188-b350-d654a94184a3,$709.1K Per Month Amazon FBA Site in the Children Niche,178612,709099,The Seller would like to pursue new opportunities.,Children,US
15,211f209d-28f3-4ef4-8d19-e850e007990d,$508.6K Per Month Amazon FBA Site in the Hobbies Niche,127891,508571,The Seller would like the capital to invest in other projects.,Hobbies,US
16,11529037-f295-4338-b18c-5507db8b39cf,$595.8K Per Month Amazon FBA Site in the Automotive Niche,114831,595752,The Sellers would like to focus on other opportunities,Automotive,US
17,baf351c5-fecd-4d33-81eb-7da4c6b31d28,$467.8K Per Month Amazon FBA Site in the Home Niche,128221,467845,The Seller would like to focus on other business opportunities,Home Art,US
18,54a1e49d-7e9f-4a82-be64-b2172f5739d6,$433.2K Per Month Amazon FBA Site in the Supplements Niche,96523,433221,The Seller would like to focus on other opportunities.,Supplements,US
19,d23453fd-1d5f-4f38-9fb8-4ba20c8fa911,$451.5K Per Month Amazon FBA Site in the Home Niche,115837,451468,The Seller would like to pursue new opportunities.,Home Medical Art,US
20,bddeebb9-c69a-4e03-80e1-55e3fc8dd10a,$651.6K Per Month eCommerce Site in the Occasions & Gifts Niche,126284,651573,The Seller would like to focus on another opportunity.,Occasions & Gifts,US
21,166176ff-035c-4b14-a013-ed2f22c995b7,$243.9K Per Month Amazon FBA Site in the Children Niche,92494,243866,The Seller would like to raise capital to help grow another business opportunity.,Children Hobbies,US
22,97b829e9-2eb4-4907-91c0-b60e8a61c3a8,$477.7K Per Month Amazon FBA Site in the Home Niche,146682,477723,The Seller also has interests in 2 software businesses in the Amazon space. They wish to sell this business to focus on scaling these.,Home Sports,US
23,5f4ad300-e37d-4731-93b4-97d035c523f7,$308.1K Per Month Amazon FBA Site in the Sports Niche,93858,308067,The Seller would like to focus on other business opportunities,Sports,US
24,f8b6bef7-2421-4a71-aeb8-f8431e481c0e,$1182.2K Per Month Amazon FBA Site in the Health & Fitness Niche,141289,1182233,The Seller would like the capital for other projects.,Health & Fitness Equipment,US
25,e52a7b8f-9960-468e-a109-22566dd73b5b,$604.9K Per Month Amazon FBA Site in the Apparel & Accessories Niche,91255,604851,The Seller would like to move on to other opportunities,Apparel & Accessories Supplements,US
26,e418e0ed-bd8b-40a3-b1b2-021c951f9ab9,$662.5K Per Month Amazon FBA Site in the Apparel & Accessories Niche,100864,662501,The Sellers would like to move on from the business.,Apparel & Accessories,US
27,d8ef11d1-46c7-4429-b2af-a05b676b8f6f,$415.7K Per Month eCommerce Site in the Beauty Niche,109885,415668,The Seller would like the capital from the sale for other opportunities.,Beauty Personal Care Equipment,US
28,d1444a12-4ac8-4359-85e1-ff7a30ee5f77,$282.8K Per Month Amazon FBA Site in the Health & Fitness Niche,103271,282790,The Seller would like to move on to other opportunities,Health & Fitness Beauty,US
29,c535422b-d858-4e34-bc4d-8ff5be374a35,$380.0K Per Month Amazon FBA Site in the Health & Fitness Niche,97175,379978,The Seller would like to focus on other opportunities.,Health & Fitness,US
30,04699ad3-6dd7-41d9-8555-9e6de2438c50,$193.5K Per Month Amazon FBA Site in the Pet Care Niche,69169,193545,The Seller would like to explore new opportunities.,Pet Care Home,US
31,a35f5aa7-2c6e-4ec5-a791-38e438e31ae2,$211.2K Per Month Amazon FBA Site in the Occasions & Gifts Niche,73121,211192,The Seller would like to explore other opportunities.,Occasions & Gifts Home,US
32,2f608032-81c6-4dc4-b6ef-6c0f1405f5bc,$541.3K Per Month Display Advertising Site in the Gaming Niche,76062,541284,The Seller would like the capital for other projects.,Gaming,US
33,1bb57b84-8f0e-48ae-96db-1a6199a1a9dd,$147.5K Per Month Amazon FBA Site in the Equipment Niche,66705,147484,The Seller would like to focus on other business opportunities,Equipment Electronics,US
34,fa7ffe59-b18c-4146-b8d5-cc34c062f738,$190.0K Per Month Amazon FBA Site in the Personal Care Niche,58433,190043,The Seller would like to focus on other projects.,Personal Care Beauty,US
35,3836519f-991f-41ac-89b4-b17649c7d869,$262.2K Per Month Amazon FBA Site in the Beauty Niche,65050,262248,The Sellers would like the capital for other projects.,Beauty Personal Care,US
36,2b56c13f-359e-43fb-b2ff-62fb30bad1aa,$238.6K Per Month Amazon FBA Site in the Occasions & Gifts Niche,87040,238621,The Seller would like to move on to different opportunities.,Occasions & Gifts,US
37,302a4315-70a7-4ab2-8c67-832ad55432c9,$325.8K Per Month eCommerce Site in the Digital Media Niche,96071,325782,The Sellers are looking to invest this capital into another business within a different niche.,Digital Media,US
38,213be903-ab81-4570-9b59-b3d41efc25c3,$350.9K Per Month Amazon FBA Site in the Sports Niche,82224,350858,The Seller could use the cashflow.,Sports,US
39,dd47558e-decc-4373-86a1-fb58c3987175,$242.2K Per Month Amazon FBA Site in the Health & Fitness Niche,75033,242201,Both Sellers are looking to invest this capital into another business opportunity within a different niche.,Health & Fitness,US
40,74d3cce9-3bd8-4787-a6ab-2c61b44c161b,$156.9K Per Month Amazon FBA Site in the Outdoors Niche,64004,156932,"After running the business for over 4 years, the Seller is looking to focus on other passion projects.",Outdoors,US
41,03350b2b-26d0-4033-a261-ec09617196a7,$222.8K Per Month Amazon FBA Site in the Children Niche,49779,222828,The Seller would like to pursue new opportunities,Children,US
42,cc073ac0-7a33-471a-9371-9c7311006d34,$194.1K Per Month Amazon FBA Site in the Outdoors Niche,53957,194110,The Seller would like the capital for other projects.,Outdoors Equipment Pet Care,US
